WS_3_20.bin
         3.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
1383
 2
1
Chargeability
mV/V
 0.06,0.5
4  9.00  0.00 36.00  0.00 18.00  0.00 27.00  0.00 264.80  4.99
4  9.00  0.00 42.00  0.00 21.00  0.00 30.00  0.00 301.19  5.51
4  9.00  0.00 48.00  0.00 24.00  0.00 33.00  0.00 326.28  5.42
4  9.00  0.00 54.00  0.00 27.00  0.00 36.00  0.00 358.82  6.43
4  9.00  0.00 60.00  0.00 30.00  0.00 39.00  0.00 374.12  6.25
4  9.00  0.00 72.00  0.00 36.00  0.00 45.00  0.00 371.81  5.39
4  9.00  0.00 78.00  0.00 39.00  0.00 48.00  0.00 391.36  5.05
4  9.00  0.00 84.00  0.00 42.00  0.00 51.00  0.00 401.63  4.68
4  9.00  0.00 90.00  0.00 45.00  0.00 54.00  0.00 469.17  3.91
4  9.00  0.00 96.00  0.00 48.00  0.00 57.00  0.00 533.12  3.15
4  9.00  0.00 102.00  0.00 51.00  0.00 60.00  0.00 579.37  2.07
4  9.00  0.00 108.00  0.00 54.00  0.00 63.00  0.00 595.17  2.19
4  12.00  0.00 21.00  0.00 15.00  0.00 18.00  0.00 234.56  9.22
4  12.00  0.00 27.00  0.00 18.00  0.00 21.00  0.00 232.25  8.72
4  12.00  0.00 33.00  0.00 21.00  0.00 24.00  0.00 251.85  6.10
4  12.00  0.00 39.00  0.00 24.00  0.00 27.00  0.00 269.06  5.74
4  12.00  0.00 45.00  0.00 27.00  0.00 30.00  0.00 294.30  5.51
4  12.00  0.00 51.00  0.00 30.00  0.00 33.00  0.00 314.31  6.56
4  12.00  0.00 57.00  0.00 33.00  0.00 36.00  0.00 339.28  7.89
4  12.00  0.00 63.00  0.00 36.00  0.00 39.00  0.00 356.42  6.92
4  12.00  0.00 69.00  0.00 39.00  0.00 42.00  0.00 355.27  6.02
4  12.00  0.00 75.00  0.00 42.00  0.00 45.00  0.00 401.35  6.50
4  12.00  0.00 81.00  0.00 45.00  0.00 48.00  0.00 389.31  5.14
4  12.00  0.00 87.00  0.00 48.00  0.00 51.00  0.00 445.75  4.68
4  12.00  0.00 93.00  0.00 51.00  0.00 54.00  0.00 518.26  2.87
4  12.00  0.00 99.00  0.00 54.00  0.00 57.00  0.00 561.99  2.84
